CountryID,PolicyID,VehTypeID,FuelID,Year,CO2_min,CO2_max,BIK_rate
9,0,3,1,2013,215,220,35
9,0,3,1,2013,220,225,35
9,0,3,1,2013,225,230,35
9,0,3,1,2013,230,999,35
9,0,3,2,2013,0,0,3
9,0,3,2,2013,0.001,50,8
9,0,3,2,2013,50,75,8
9,0,3,2,2013,75,95,13
9,0,3,2,2013,95,100,14
9,0,3,2,2013,100,105,15
9,0,3,2,2013,105,110,16
9,0,3,2,2013,110,115,17
9,0,3,2,2013,115,120,18
9,0,3,2,2013,120,125,19
9,0,3,2,2013,125,130,20
9,0,3,2,2013,130,135,21
9,0,3,2,2013,135,140,22
9,0,3,2,2013,140,145,23
9,0,3,2,2013,145,150,24
9,0,3,2,2013,150,155,25
9,0,3,2,2013,155,160,26
9,0,3,2,2013,160,165,27
9,0,3,2,2013,165,170,28
9,0,3,2,2013,170,175,29
9,0,3,2,2013,175,180,30
9,0,3,2,2013,180,185,31
9,0,3,2,2013,185,190,32
9,0,3,2,2013,190,195,33
9,0,3,2,2013,195,200,34
9,0,3,2,2013,200,205,35
9,0,3,2,2013,205,210,36
9,0,3,2,2013,210,215,37
9,0,3,2,2013,215,220,37
9,0,3,2,2013,220,225,37
9,0,3,2,2013,225,230,37
9,0,3,2,2013,230,999,37
9,0,3,3,2013,0,0,0
9,0,3,3,2013,0.001,50,5
9,0,3,3,2013,50,75,5
9,0,3,3,2013,75,95,10
9,0,3,3,2013,95,100,11
9,0,3,3,2013,100,105,12
9,0,3,3,2013,105,110,13
9,0,3,3,2013,110,115,14
9,0,3,3,2013,115,120,15
9,0,3,3,2013,120,125,16
9,0,3,3,2013,125,130,17
9,0,3,3,2013,130,135,18
9,0,3,3,2013,135,140,19
9,0,3,3,2013,140,145,20
9,0,3,3,2013,145,150,21
9,0,3,3,2013,150,155,22
9,0,3,3,2013,155,160,23
9,0,3,3,2013,160,165,24
9,0,3,3,2013,165,170,25
9,0,3,3,2013,170,175,26
9,0,3,3,2013,175,180,27
9,0,3,3,2013,180,185,28
9,0,3,3,2013,185,190,29
9,0,3,3,2013,190,195,30
9,0,3,3,2013,195,200,31
9,0,3,3,2013,200,205,32
9,0,3,3,2013,205,210,33
9,0,3,3,2013,210,215,34
9,0,3,3,2013,215,220,35
9,0,3,3,2013,220,225,35
9,0,3,3,2013,225,230,35
9,0,3,3,2013,230,999,35
9,0,3,4,2013,0,0,0
9,0,3,4,2013,0.001,50,5
9,0,3,4,2013,50,75,5
9,0,3,4,2013,75,95,13
9,0,3,4,2013,95,100,14
9,0,3,4,2013,100,105,15
9,0,3,4,2013,105,110,16
9,0,3,4,2013,110,115,17
9,0,3,4,2013,115,120,18
9,0,3,4,2013,120,125,19
9,0,3,4,2013,125,130,20
9,0,3,4,2013,130,135,21
9,0,3,4,2013,135,140,22
9,0,3,4,2013,140,145,23
9,0,3,4,2013,145,150,24
9,0,3,4,2013,150,155,25
9,0,3,4,2013,155,160,26
9,0,3,4,2013,160,165,27
9,0,3,4,2013,165,170,28
9,0,3,4,2013,170,175,29
9,0,3,4,2013,175,180,30
9,0,3,4,2013,180,185,31
9,0,3,4,2013,185,190,32
9,0,3,4,2013,190,195,33
9,0,3,4,2013,195,200,34
9,0,3,4,2013,200,205,35
9,0,3,4,2013,205,210,36
9,0,3,4,2013,210,215,37
9,0,3,4,2013,215,220,37
9,0,3,4,2013,220,225,37
9,0,3,4,2013,225,230,37
9,0,3,4,2013,230,999,37
9,0,3,5,2013,0,0,0
9,0,3,5,2013,0.001,50,5
9,0,3,5,2013,50,75,5
9,0,3,5,2013,75,95,10
9,0,3,5,2013,95,100,11
9,0,3,5,2013,100,105,12
9,0,3,5,2013,105,110,13
9,0,3,5,2013,110,115,14
9,0,3,5,2013,115,120,15
9,0,3,5,2013,120,125,16
9,0,3,5,2013,125,130,17
9,0,3,5,2013,130,135,18
9,0,3,5,2013,135,140,19
9,0,3,5,2013,140,145,20
9,0,3,5,2013,145,150,21
9,0,3,5,2013,150,155,22
9,0,3,5,2013,155,160,23
9,0,3,5,2013,160,165,24
9,0,3,5,2013,165,170,25
9,0,3,5,2013,170,175,26
9,0,3,5,2013,175,180,27
9,0,3,5,2013,180,185,28
9,0,3,5,2013,185,190,29
9,0,3,5,2013,190,195,30
9,0,3,5,2013,195,200,31
9,0,3,5,2013,200,205,32
9,0,3,5,2013,205,210,33
9,0,3,5,2013,210,215,34
9,0,3,5,2013,215,220,35
9,0,3,5,2013,220,225,35
9,0,3,5,2013,225,230,35
9,0,3,5,2013,230,999,35
9,0,3,6,2013,0,0,0
9,0,3,6,2013,0.001,50,5
9,0,3,6,2013,50,75,5
9,0,3,6,2013,75,95,10
9,0,3,6,2013,95,100,11
9,0,3,6,2013,100,105,12
9,0,3,6,2013,105,110,13
9,0,3,6,2013,110,115,14
9,0,3,6,2013,115,120,15
9,0,3,6,2013,120,125,16
9,0,3,6,2013,125,130,17
9,0,3,6,2013,130,135,18
9,0,3,6,2013,135,140,19
9,0,3,6,2013,140,145,20
9,0,3,6,2013,145,150,21
9,0,3,6,2013,150,155,22
9,0,3,6,2013,155,160,23
9,0,3,6,2013,160,165,24
9,0,3,6,2013,165,170,25
9,0,3,6,2013,170,175,26
9,0,3,6,2013,175,180,27
9,0,3,6,2013,180,185,28
9,0,3,6,2013,185,190,29
9,0,3,6,2013,190,195,30
9,0,3,6,2013,195,200,31
9,0,3,6,2013,200,205,32
9,0,3,6,2013,205,210,33
9,0,3,6,2013,210,215,34
9,0,3,6,2013,215,220,35
9,0,3,6,2013,220,225,35
9,0,3,6,2013,225,230,35
9,0,3,6,2013,230,999,35
9,0,3,7,2013,0,0,0
9,0,3,7,2013,0.001,50,5
9,0,3,7,2013,50,75,5
9,0,3,7,2013,75,95,10
9,0,3,7,2013,95,100,11
9,0,3,7,2013,100,105,12
9,0,3,7,2013,105,110,13
9,0,3,7,2013,110,115,14
9,0,3,7,2013,115,120,15
9,0,3,7,2013,120,125,16
9,0,3,7,2013,125,130,17
9,0,3,7,2013,130,135,18
9,0,3,7,2013,135,140,19
9,0,3,7,2013,140,145,20
9,0,3,7,2013,145,150,21
9,0,3,7,2013,150,155,22
9,0,3,7,2013,155,160,23
9,0,3,7,2013,160,165,24
9,0,3,7,2013,165,170,25
9,0,3,7,2013,170,175,26
9,0,3,7,2013,175,180,27
9,0,3,7,2013,180,185,28
9,0,3,7,2013,185,190,29
9,0,3,7,2013,190,195,30
9,0,3,7,2013,195,200,31
9,0,3,7,2013,200,205,32
9,0,3,7,2013,205,210,33
9,0,3,7,2013,210,215,34
9,0,3,7,2013,215,220,35
9,0,3,7,2013,220,225,35
9,0,3,7,2013,225,230,35
9,0,3,7,2013,230,999,35
9,0,3,8,2013,0,0,0
9,0,3,8,2013,0.001,50,5
9,0,3,8,2013,50,75,5
9,0,3,8,2013,75,95,10
9,0,3,8,2013,95,100,11
9,0,3,8,2013,100,105,12
9,0,3,8,2013,105,110,13
9,0,3,8,2013,110,115,14
9,0,3,8,2013,115,120,15
9,0,3,8,2013,120,125,16
9,0,3,8,2013,125,130,17
9,0,3,8,2013,130,135,18
9,0,3,8,2013,135,140,19
9,0,3,8,2013,140,145,20
9,0,3,8,2013,145,150,21
9,0,3,8,2013,150,155,22
9,0,3,8,2013,155,160,23
9,0,3,8,2013,160,165,24
9,0,3,8,2013,165,170,25
9,0,3,8,2013,170,175,26
9,0,3,8,2013,175,180,27
9,0,3,8,2013,180,185,28
9,0,3,8,2013,185,190,29
9,0,3,8,2013,190,195,30
9,0,3,8,2013,195,200,31
9,0,3,8,2013,200,205,32
9,0,3,8,2013,205,210,33
9,0,3,8,2013,210,215,34
9,0,3,8,2013,215,220,35
9,0,3,8,2013,220,225,35
9,0,3,8,2013,225,230,35
9,0,3,8,2013,230,999,35
9,0,3,10,2013,0,0,0
9,0,3,10,2013,0.001,50,5
9,0,3,10,2013,50,75,5
9,0,3,10,2013,75,95,10
9,0,3,10,2013,95,100,11
9,0,3,10,2013,100,105,12
9,0,3,10,2013,105,110,13
9,0,3,10,2013,110,115,14
9,0,3,10,2013,115,120,15
9,0,3,10,2013,120,125,16
9,0,3,10,2013,125,130,17
9,0,3,10,2013,130,135,18
9,0,3,10,2013,135,140,19
9,0,3,10,2013,140,145,20
9,0,3,10,2013,145,150,21
9,0,3,10,2013,150,155,22
9,0,3,10,2013,155,160,23
9,0,3,10,2013,160,165,24
9,0,3,10,2013,165,170,25
9,0,3,10,2013,170,175,26
9,0,3,10,2013,175,180,27
9,0,3,10,2013,180,185,28
9,0,3,10,2013,185,190,29
9,0,3,10,2013,190,195,30
9,0,3,10,2013,195,200,31
9,0,3,10,2013,200,205,32
9,0,3,10,2013,205,210,33
9,0,3,10,2013,210,215,34
9,0,3,10,2013,215,220,35
9,0,3,10,2013,220,225,35
9,0,3,10,2013,225,230,35
9,0,3,10,2013,230,999,35
9,0,3,11,2013,0,0,0
9,0,3,11,2013,0.001,50,5
9,0,3,11,2013,50,75,5
9,0,3,11,2013,75,95,10
9,0,3,11,2013,95,100,11
9,0,3,11,2013,100,105,12
9,0,3,11,2013,105,110,13
9,0,3,11,2013,110,115,14
9,0,3,11,2013,115,120,15
9,0,3,11,2013,120,125,16
9,0,3,11,2013,125,130,17
9,0,3,11,2013,130,135,18
9,0,3,11,2013,135,140,19
9,0,3,11,2013,140,145,20
9,0,3,11,2013,145,150,21
9,0,3,11,2013,150,155,22
9,0,3,11,2013,155,160,23
9,0,3,11,2013,160,165,24
9,0,3,11,2013,165,170,25
9,0,3,11,2013,170,175,26
9,0,3,11,2013,175,180,27
9,0,3,11,2013,180,185,28
9,0,3,11,2013,185,190,29
9,0,3,11,2013,190,195,30
9,0,3,11,2013,195,200,31
9,0,3,11,2013,200,205,32
9,0,3,11,2013,205,210,33
9,0,3,11,2013,210,215,34
9,0,3,11,2013,215,220,35
9,0,3,11,2013,220,225,35
9,0,3,11,2013,225,230,35
9,0,3,11,2013,230,999,35
9,0,3,12,2013,0,0,0
9,0,3,12,2013,0.001,50,0
9,0,3,12,2013,50,75,0
9,0,3,12,2013,75,95,0
9,0,3,12,2013,95,100,0
9,0,3,12,2013,100,105,0
9,0,3,12,2013,105,110,0
9,0,3,12,2013,110,115,0
9,0,3,12,2013,115,120,0
9,0,3,12,2013,120,125,0
9,0,3,12,2013,125,130,0
9,0,3,12,2013,130,135,0
9,0,3,12,2013,135,140,0
9,0,3,12,2013,140,145,0
9,0,3,12,2013,145,150,0
9,0,3,12,2013,150,155,0
9,0,3,12,2013,155,160,0
9,0,3,12,2013,160,165,0
9,0,3,12,2013,165,170,0
9,0,3,12,2013,170,175,0
9,0,3,12,2013,175,180,0
9,0,3,12,2013,180,185,0
9,0,3,12,2013,185,190,0
9,0,3,12,2013,190,195,0
9,0,3,12,2013,195,200,0
9,0,3,12,2013,200,205,0
9,0,3,12,2013,205,210,0
9,0,3,12,2013,210,215,0
9,0,3,12,2013,215,220,0
9,0,3,12,2013,220,225,0
9,0,3,12,2013,225,230,0
9,0,3,12,2013,230,999,0
9,0,3,13,2013,0,0,0
9,0,3,13,2013,0.001,50,0
9,0,3,13,2013,50,75,0
9,0,3,13,2013,75,95,0
9,0,3,13,2013,95,100,0
9,0,3,13,2013,100,105,0
9,0,3,13,2013,105,110,0
9,0,3,13,2013,110,115,0
9,0,3,13,2013,115,120,0
9,0,3,13,2013,120,125,0
9,0,3,13,2013,125,130,0
9,0,3,13,2013,130,135,0
9,0,3,13,2013,135,140,0
9,0,3,13,2013,140,145,0
9,0,3,13,2013,145,150,0
9,0,3,13,2013,150,155,0
9,0,3,13,2013,155,160,0
9,0,3,13,2013,160,165,0
9,0,3,13,2013,165,170,0
9,0,3,13,2013,170,175,0
9,0,3,13,2013,175,180,0
9,0,3,13,2013,180,185,0
9,0,3,13,2013,185,190,0
9,0,3,13,2013,190,195,0
9,0,3,13,2013,195,200,0
9,0,3,13,2013,200,205,0
9,0,3,13,2013,205,210,0
9,0,3,13,2013,210,215,0
9,0,3,13,2013,215,220,0
9,0,3,13,2013,220,225,0
9,0,3,13,2013,225,230,0
9,0,3,13,2013,230,999,0
9,0,3,14,2013,0,0,0
9,0,3,14,2013,0.001,50,0
9,0,3,14,2013,50,75,0
9,0,3,14,2013,75,95,0
9,0,3,14,2013,95,100,0
9,0,3,14,2013,100,105,0
9,0,3,14,2013,105,110,0
9,0,3,14,2013,110,115,0
9,0,3,14,2013,115,120,0
9,0,3,14,2013,120,125,0
9,0,3,14,2013,125,130,0
9,0,3,14,2013,130,135,0
